medicine_name,authorisation_no,pharmaceutical_form_lv,active_substance,Aizliegts ārpus sacensībām,Aizliegts sacensību laikā,Aizliegto vielu un metožu saraksta klase,Piezīmes par lietošanu,"Sporta veidi, kuros aizliegts sacensību laikā","Sporta veidi, kuros aizliegts ārpus sacensībām",Notes,Prohibited In-Competition in the following sports,Prohibited Out-of-Competition in the following sports
Extraneal šķīdums peritoneālai dialīzei,01-0401,Šķīdums peritoneālai dialīzei,"Icodextrinum, Natrii chloridum, Natrii (S)- lactatis solutio, Calcii chloridum, Magnesii chloridum",Jā,Jā,M1,,,,,,
"Physioneal 40 Glucose 1,36% w/v/13,6 mg/ml šķīdums peritoneālai dialīzei",02-0082,Šķīdums peritoneālai dialīzei,"Glucosum monohydricum, Calcii chloridum, Magnesii chloridum, Natrii chloridum, Natrii lactas, Natrii hydrogenocarbonas",Jā,Jā,M1,,,,,,
"Physioneal 40 Glucose 2,27% w/v/22,7 mg/ml šķīdums peritoneālai dialīzei",02-0083,Šķīdums peritoneālai dialīzei,"Glucosum monohydricum, Calcii chloridum, Magnesii chloridum, Natrii chloridum, Natrii lactas, Natrii hydrogenocarbonas",Jā,Jā,M1,,,,,,
"Physioneal 40 Glucose 3,86% w/v/38,6 mg/ml šķīdums peritoneālai dialīzei",02-0084,Šķīdums peritoneālai dialīzei,"Glucosum monohydricum, Calcii chloridum, Magnesii chloridum, Natrii lactas, Natrii chloridum, Natrii hydrogenocarbonas",Jā,Jā,M1,,,,,,
Duosol bez kālija šķīdums hemofiltrācijai,05-0139,Šķīdums hemofiltrācijai,"Natrii chloridum, Natrii hydrogenocarbonas, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Glucosum monohydricum",Jā,Jā,M1,,,,,,
Duosol ar 2 mmol/l kālija šķīdums hemofiltrācijai,05-0140,Šķīdums hemofiltrācijai,"Glucosum monohydricum, Natrii chloridum, Kalii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii hydrogenocarbonas",Jā,Jā,M1,,,,,,
MultiBic ar kāliju 2 mmol/l šķīdums hemodialīzei/hemofiltrācijai,05-0385,Šķīdums hemodialīzei/hemofiltrācijai,"Natrii chloridum, Kalii chloridum, Natrii hydrogenocarbonas, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Glucosum monohydricum",Jā,Jā,M1,,,,,,
MultiBic ar kāliju 3 mmol/l šķīdums hemodialīzei/hemofiltrācijai,05-0386,Šķīdums hemodialīzei/hemofiltrācijai,"Natrii chloridum, Kalii chloridum, Natrii hydrogenocarbonas, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Glucosum monohydricum",Jā,Jā,M1,,,,,,
MultiBic ar kāliju 4 mmol/l šķīdums hemodialīzei/hemofiltrācijai,05-0387,Šķīdums hemodialīzei/hemofiltrācijai,"Natrii chloridum, Kalii chloridum, Natrii hydrogenocarbonas, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Glucosum monohydricum",Jā,Jā,M1,,,,,,
MultiBic bez kālija šķīdums hemodialīzei/hemofiltrācijai,05-0388,Šķīdums hemodialīzei/hemofiltrācijai,"Natrii chloridum, Natrii hydrogenocarbonas, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Glucosum monohydricum",Jā,Jā,M1,,,,,,
Duosol ar 4 mmol/l kālija šķīdums hemofiltrācijai,05-0486,Šķīdums hemofiltrācijai,"Glucosum monohydricum, Natrii chloridum, Kalii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii hydrogenocarbonas",Jā,Jā,M1,,,,,,
"Balance 1,5% glikoze, 1,25 mmol/l kalcijs, šķīdums peritoneālai dialīzei",06-0070,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii lactatis solutio",Jā,Jā,M1,,,,,,
"Balance 2,3% glikoze, 1,25 mmol/l kalcijs, šķīdums peritoneālai dialīzei",06-0071,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii lactatis solutio",Jā,Jā,M1,,,,,,
"Balance 4,25% glikoze, 1,25 mmol/l kalcijs, šķīdums peritoneālai dialīzei",06-0072,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii lactatis solutio",Jā,Jā,M1,,,,,,
"Balance 1,5% glikoze, 1,75 mmol/l kalcijs, šķīdums peritoneālai dialīzei",06-0073,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii lactatis solutio",Jā,Jā,M1,,,,,,
"Balance 2,3% glikoze, 1,75 mmol/l kalcijs, šķīdums peritoneālai dialīzei",06-0074,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii lactatis solutio",Jā,Jā,M1,,,,,,
"Balance 4,25% glikoze, 1,75 mmol/l kalcijs, šķīdums peritoneālai dialīzei",06-0075,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii lactatis solutio",Jā,Jā,M1,,,,,,
Normosang 25 mg/ml koncentrāts infūziju šķīduma pagatavošanai,06-0218,Koncentrāts infūziju šķīduma pagatavošanai,Haeminum humanum,Jā,Jā,M1,,,,,,
Prismasol 2 mmol/l Kālija šķīdums hemodialīzei/hemofiltrācijai,09-0310,Šķīdums hemodialīzei/hemofiltrācijai,"Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Glucosum anhydricum, Acidum lacticum, Natrii chloridum, Natrii hydrogenocarbonas, Kalii chloridum",Jā,Jā,M1,,,,,,
Prismasol 4 mmol/l Kālija šķīdums hemodialīzei/hemofiltrācijai,09-0311,Šķīdums hemodialīzei/hemofiltrācijai,"Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Glucosum anhydricum, Acidum lacticum, Natrii chloridum, Natrii hydrogenocarbonas, Kalii chloridum",Jā,Jā,M1,,,,,,
"Phoxilium 1,2 mmol/l fosfātu šķīdums hemodialīzei/hemofiltrācijai",09-0359,Šķīdums hemodialīzei/hemofiltrācijai,"Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii hydrogenocarbonas, Kalii chloridum, Dinatrii phosphas dihydricus",Jā,Jā,M1,,,,,,
Hemosol B0 šķīdums hemodialīzei/hemofiltrācijai,10-0446,Šķīdums hemodialīzei/hemofiltrācijai,"Natrii hydrogenocarbonas, Natrii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Acidum lacticum",Jā,Jā,M1,,,,,,
"Physioneal 35 Clear-Flex Glucose 13,6 mg/ml šķīdums peritoneālai dialīzei",14-0250,Šķīdums peritoneālai dialīzei,"Glucosum anhydricum, Natrii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii hydrogenocarbonas, Natrii (S)- lactatis solutio",Jā,Jā,M1,,,,,,
"Physioneal 35 Clear-Flex Glucose 22,7 mg/ml šķīdums peritoneālai dialīzei",14-0251,Šķīdums peritoneālai dialīzei,"Glucosum anhydricum, Natrii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii hydrogenocarbonas, Natrii (S)- lactatis solutio",Jā,Jā,M1,,,,,,
"Physioneal 35 Clear-Flex Glucose 38,6 mg/ml šķīdums peritoneālai dialīzei",14-0252,Šķīdums peritoneālai dialīzei,"Glucosum anhydricum, Natrii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii hydrogenocarbonas, Natrii (S)- lactatis solutio",Jā,Jā,M1,,,,,,
"Physioneal 40 Clear-Flex Glucose 13,6 mg/ml šķīdums peritoneālai dialīzei",14-0253,Šķīdums peritoneālai dialīzei,"Glucosum anhydricum, Natrii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii hydrogenocarbonas, Natrii (S)- lactatis solutio",Jā,Jā,M1,,,,,,
"Physioneal 40 Clear-Flex Glucose 22,7 mg/ml šķīdums peritoneālai dialīzei",14-0254,Šķīdums peritoneālai dialīzei,"Glucosum anhydricum, Natrii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii hydrogenocarbonas, Natrii (S)- lactatis solutio",Jā,Jā,M1,,,,,,
"Physioneal 40 Clear-Flex Glucose 38,6 mg/ml šķīdums peritoneālai dialīzei",14-0255,Šķīdums peritoneālai dialīzei,"Glucosum anhydricum, Natrii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii hydrogenocarbonas, Natrii (S)- lactatis solutio",Jā,Jā,M1,,,,,,
Biphozyl šķīdums hemodialīzei/hemofiltrācijai,15-0002,Šķīdums hemodialīzei/hemofiltrācijai,"Magnesii chloridum hexahydricum, Natrii chloridum, Natrii hydrogenocarbonas, Kalii chloridum, Dinatrii phosphas dihydricus",Jā,Jā,M1,,,,,,
Regiocit šķīdums hemofiltrācijai,15-0023,Šķīdums hemofiltrācijai,"Natrii citras, Natrii chloridum",Jā,Jā,M1,,,,,,
Octaplasma šķīdums infūzijām,15-0256,Šķīdums infūzijām,Proteinum plasmatis humanum,Jā,Jā,M2,,,,,,
"Bicavera 1,5% glikoze, 1,25 mmol/l kalcijs, šķīdums peritoneālai dialīzei",16-0186,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii hydrogenocarbonas",Jā,Jā,M1,,,,,,
"Bicavera 2,3% glikoze, 1,25 mmol/l kalcijs, šķīdums peritoneālai dialīzei",16-0187,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii hydrogenocarbonas",Jā,Jā,M1,,,,,,
"Bicavera 4,25% glikoze, 1,25 mmol/l kalcijs, šķīdums peritoneālai dialīzei",16-0188,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii hydrogenocarbonas",Jā,Jā,M1,,,,,,
"Dianeal PD4 Glucose 1,36% w/v/13,6 mg/ml šķīdums peritoneālai dialīzei",97-0056,Šķīdums peritoneālai dialīzei,"Glucosum monohydricum, Magnesii chloridum hexahydricum, Calcii chloridum dihydricum, Natrii lactas, Natrii chloridum",Jā,Jā,M1,,,,,,
"Dianeal PD4 Glucose 3,86% w/v/38,6 mg/ml šķīdums peritoneālai dialīzei",97-0057,Šķīdums peritoneālai dialīzei,"Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii lactas, Calcii chloridum dihydricum",Jā,Jā,M1,,,,,,
"Dianeal PD4 Glucose 2,27% w/v//22,7 mg/ml šķīdums peritoneālai dialīzei",97-0058,Šķīdums peritoneālai dialīzei,"Glucosum monohydricum, Natrii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii lactas",Jā,Jā,M1,,,,,,
Luminity,EU/1/06/361/001,Šķīdums dispersijām injekcijām vai infūzijām,Perflutrenum,Jā,Jā,M1,,,,,,
Luminity,EU/1/06/361/002,Šķīdums dispersijām injekcijām vai infūzijām,Perflutrenum,Jā,Jā,M1,,,,,,
Optison,EU/1/98/065/001,Dispersija injekcijām,Perflutrenum,Jā,Jā,M1,,,,,,
Optison,EU/1/98/065/002,Dispersija injekcijām,Perflutrenum,Jā,Jā,M1,,,,,,
Nebido 1000 mg/4 ml šķīdums injekcijām,05-0141,Šķīdums injekcijām,Testosteroni undecanoas,Jā,Jā,S1,,,,,,
Androgel 25 mg gels paciņā,05-0629,Gels paciņā,Testosteronum,Jā,Jā,S1,,,,,,
Androgel 50 mg gels paciņā,05-0630,Gels paciņā,Testosteronum,Jā,Jā,S1,,,,,,
